Item,Effect,Set
Chemist's Coat,"Your Defensive applies POISON to nearby enemies for 8 seconds.
Slightly increases movement speed.",Poison
Seashell Shield,Your Defensive has a random cooldown between 1 second and 15 seconds every time you use it.,Depth
Necronomicon,"Every 8 seconds, using your Special will reset its cooldown instantly and CHARGE it.",Depth
Tidal Greatsword,"Every 12 seconds, slices a large radius around you dealing 200 damage.
Slowly gets larger and deals more damage as a fight drags on.",Depth
Occult Dagger,"Your Secondary is 80% more powerful, but gains a cooldown of 5 seconds.",Depth
Mermaid Scalemail,"All cooldowns are reduced by 2 seconds.
All loot and abilities with cooldowns start battles on a 8 second cooldown.",Depth
Hydrous Blob,"Every 8 seconds, using your Secondary will fire an eldritch beast towards your target, dealing 250 damage.
Starts battles on cooldown.",Depth
Abyss Artifact,"Every 30 seconds, using your Defensive will grant you SUPER for 8 seconds.
Starts on a 15 second cooldown.",Depth
Lost Pendant,"At the start of each fight, inflict all enemies with DECAY for 60 seconds.",Depth
Sawtooth Cleaver,"Increases your Primary's damage by 30%, but decreases its radius by 20%.",Darkbite
Raven's Dagger,"Increases your Secondary's damage by 50%, but decreases its radius by 40%.",Darkbite
Killing Note,"Increases your Special's damage by 30%, but decreases its radius by 20%.",Darkbite
Blacksteel Buckler,"Your Defensive's range decreases by 30%, but now has a 2 seconds shorter cooldown and grants COUNTER.",Darkbite
Nightguard Gloves,Whichever ability has the highest base damage value deals 20% more damage.,Darkbite
Sniper's Eyeglasses,You deal 30% more damage when you are separated from your target by at least 3 rabbitleaps.,Darkbite
Darkmage Charm,"When you've been standing still for 1 second, your Special deals 40% more damage.",Darkbite
Firststrike Bracelet,"Every 15 seconds, gain BLACKSTRIKE when you use your Secondary.
Starts the battle off cooldown.",Darkbite
Obsidian Rod,"Your Special's strength becomes the total cooldown time of all your abilities and loot, in seconds, multiplied by 10, divided by the times it hits your target (Maximum of 800 total).",Timegem
Darkglass Spear,"Your Primary's strength becomes your Special's cooldown, multiplied by 30, minus your Secondary's strength, divided by the times your Primary hits your target (Maximum of 500 total).",Timegem
Timespace Dagger,"Your Secondary's strength becomes your Special and Defensive's cooldown added together, multiplied by 10, divided by the times your Secondary hits your target. (Maximum of 500 total).",Timegem
Quartz Shield,"Your Defensive's cooldown becomes 30 seconds.
When a loot item with a cooldown activates, the remaining timer on your Defensive is reduced by that amount.",Timegem
Pocketwatch,Abilities with a GCD less than or equal to 1.10 seconds deal 30% more damage.,Timegem
Nova Crown,"Your Special's cooldown becomes 30 seconds.
Every 8 seconds, this loot item reduces your Special's cooldown timer to 1 second and CHARGES it.",Timegem
Blackhole Charm,"Deal 200 damage to all enemies when you use an ability or loot item with a cooldown of 10 seconds or more.
Hits one extra time for every 10 seconds longer the cooldown is than that, up to 5 times.",Timegem
Twinstar Earrings,"Your Primary and Secondary now have a 2 second GCD, and deal 70% more damage.",Timegem
Kyou No Omikuji,"All damage you deal increases by 50%.
% chance triggers no longer happen, and you no longer hit for critical damage.",Youkai
Youkai Bracelet,"All damage you deal increases by 40%.
Your attacks will no longer have randomized damage, or hit for critical damage.",Youkai
Oni Staff,"Your Special deals 30% more damage.
When a % chance succeeds, your Special goes on a 8 second cooldown.",Youkai
Kappa Shield,"Your Defensive has a 3 seconds shorter cooldown, but can no longer be reset by ability or loot effects.",Youkai
Usagi Kamen,"When a % chance succeeds, gain a random buff for 5 seconds.",Youkai
Red Tanzaku,Miracles occasionally happen.,Youkai
Vega Spear,"Your Primary deals 70% more damage, but gains a 7 second cooldown. When a % chance succeeds, its cooldown resets.",Youkai
Altair Dagger,"Your Secondary deals 30% more damage, but its GCD becomes 4 seconds.
When you use your Secondary, it has a 90% chance to have a GCD of 1 second instead.",Youkai
Ghost Spear,"Your Primary now only deals 10 damage, and applies GHOSTFLAME.",Haunted
Phantom Dagger,"Your Secondary now only deals 10 damage, and applies GHOSTFLAME.",Haunted
Cursed Candlestaff,"Your Special now only deals 10 damage, and applies GHOSTFLAME.",Haunted
Smoke Shield,"Every 24 seconds, your Defensive now grants GHOST.
Your Secondary no longer breaks VANISH or GHOST.Starts battle on cooldown.",Haunted
Haunted Gloves,"Abilities and loot that hit for 100 damage or less now hit for 100 damage, regardless of other loot effects.",Haunted
Old Bonnet,"Abilities and loot that hit once now deal 250 damage, regardless of other loot effects.",Haunted
Maid Outfit,Afflicts surrounding enemies with GHOSTFLAME when you gain invulnerability.,Haunted
Calling Bell,"Every 12 seconds, afflicts surrounding enemies with GHOSTFLAME.",Haunted
Grandmaster Spear,"Your Primary's damage increases by 40%.
Your Special's cooldown increases by 4 seconds.",Gladiator
Teacher Knife,"Your Secondary's damage increases by 40%.
Your Primary gains a cooldown of 2 seconds.",Gladiator
Tactician Rod,"Your Special's damage increases by 30%.
Your Secondary gains a cooldown of 2 seconds.",Gladiator
Spiked Shield,"When an ability or loot effect erases projectiles in a radius around you, deal X damage to that radius as well.",Gladiator
Battlemaiden Armor,Using your Defensive will reset loot and ability cooldowns with less than X seconds left on their timer.,Gladiator
Gladiator Helmet,Abilities and loot that have cooldowns deal 20% more damage.,Gladiator
Lancer Gauntlets,"All damage is increased by 30%.
Your Primary and Secondary gain cooldowns of 2 seconds.",Gladiator
Lion Charm,Deal 180 damage to nearby enemies when an ability or loot with a cooldown is activated.,Gladiator
Bluebolt Staff,Your Primary applies SPARK.,Sparkblade
Lapis Sword,Your Secondary applies SPARK.,Sparkblade
Shockwave Tome,Your Special applies SPARK.,Sparkblade
Battery Shield,"Every 30 times you or debuffs you apply deal damage to an enemy, your Defensive's cooldown resets.",Sparkblade
Raiju Crown,"Every 20 times you or debuffs you apply deal damage to an enemy, apply SPARK to all enemies.",Sparkblade
Staticshock Earrings,"Every 10 times you or debuffs you apply deal damage to an enemy, deal 150 damage to all enemies.",Sparkblade
Stormdance Gown,"Every 40 times you or debuffs you apply deal damage to an enemy, gain invulnerability for 5 seconds.",Sparkblade
Blackbolt Ribbon,"Every 50 times you or debuffs you apply deal damage to an enemy, deal 1200 damage to all enemies.",Sparkblade
Crane Katana,Gain FLOW-STR every time you move 15 rabbitleaps.,Swiftflight
Falconfeather Dagger,Gain FLOW-DEX every time you move 15 rabbitleaps.,Swiftflight
Tornado Staff,Gain FLOW-INT every time you move 15 rabbitleaps.,Swiftflight
Cloud Guard,Gain invulnerability for 5 seconds every time you move 25 rabbitleaps.,Swiftflight
Hermes Bow,"Every 10 seconds, fires a projectile at your targeted enemy that deals 250 damage.
Cooldown resets every time you move 10 rabbitleaps.",Swiftflight
Talon Charm,Deals 150 damage to all enemies every time you move 5 rabbitleaps.,Swiftflight
Tiny Wings,Dramatically increases movement speed.,Swiftflight
Feathered Overcoat,Maxes out your movement speed while you're invulnerable.,Swiftflight
Sandpriestess Spear,Your Primary has a 40% chance to grant you FLASH-DEX.,Sacredflame
Flamedancer Dagger,Your Secondary has a 40% chance to grant you FLASH-STR.,Sacredflame
Whiteflame Staff,"Every 2 times you use your Special, gain FLASH-STR.",Sacredflame
Sacred Shield,"Every 2 times you use your Defensive, gain FLASH-INT.",Sacredflame
Marble Clasp,"Every 5 times you use an ability, gain FLASH-DEX.",Sacredflame
Sun Pendant,"Every 10 times you use an ability, reset your Special's cooldown and gain FLASH-INT.",Sacredflame
Tiny Hourglass,"Every 12 seconds, deal 120 damage to all enemies.
Damage increases by 120 each time it activates.",Sacredflame
Desert Earrings,"Every time you gain a buff, gain another random buff for 5 seconds.",Sacredflame
Giant Stone Club,"Your Primary deals 70% more damage.
Its GCD is increased by 0.60 seconds.Your movement speed is also moderately reduced.",Ruins
Ruins Sword,"Your Secondary deals 100% more damage.
Its GCD is increased by 0.80 seconds.Your movement speed is also slightly reduced.",Ruins
Mountain Staff,"Your Special deals 200% more damage.
Its GCD is increased by 2.50 seconds.Your movement speed is also moderately reduced.",Ruins
Boulder Shield,"Every 30 seconds, using your Defensive will grant all allies STONESKIN.
Starts battle off cooldown.Reduces your movement speed significantly.",Ruins
Golem's Claymore,"Every 20 seconds, grants you STONESKIN for 5 seconds and then slices the air around you, dealing 500 damage to nearby enemies.
Also slows your movement speed slightly.",Ruins
Stoneplate Armor,"Start each battle with STONESKIN for 30 seconds.
Moderately reduces movement speed.",Ruins
Sacredstone Charm,Abilities with a GCD equal to or higher than 1.50 seconds deal 50% more damage.,Ruins
Clay Rabbit,"Every 12 seconds, standing still will grant you STONESKIN for 3 seconds.",Ruins
Waterfall Polearm,"Every 10 seconds, when you use your Primary, gain FLOW-STR for 5 seconds.",Lakeshrine
Vorpal Dao,"Every 10 seconds, when you use your Secondary, gain FLOW-DEX for 5 seconds.",Lakeshrine
Jade Staff,"Every 2 times you use your Special, gain STILLNESS for 10 seconds.",Lakeshrine
Reflection Shield,"When you erase projectiles in a radius around you, gain COUNTER for 3 seconds.",Lakeshrine
Butterfly Hairpin,"When you gain invincibility, gain a random buff for 5 seconds.",Lakeshrine
Watermage Pendant,"Every 12 seconds, when you stand still, gain FLOW-INT for 5 seconds.",Lakeshrine
Raindrop Earrings,"Every 18 seconds, when you stand still, gain REPEAT for 5 seconds.",Lakeshrine
Aquamarine Bracelet,"Every 12 seconds, gain a random buff for 10 seconds.",Lakeshrine
